epoch,loss,val_loss
0,2.14556203202807,2.863362663699051
1,2.0775855274836887,2.804836118862077
2,2.046217848739447,2.760169111917175
3,2.0148806075426577,2.745490296299589
4,2.0126883454871236,2.8692685564404092
5,2.2310924264622374,2.723101095916409
6,1.9719213070251085,2.6848911618829505
7,1.9588363307323067,2.6894379216382553
8,1.9458478643256756,2.6717570818154606
9,1.9349226912887685,2.67678993590215
10,1.9187619888051084,2.657763207464376
11,1.9093302450261533,2.6754133030789107
12,1.9071479857501954,2.680938132957256
13,1.9002249492116516,2.6518988700701445
14,1.8925448145022103,2.655354511010509
15,1.8888349488541123,2.6584981459558996
16,1.879627419797632,2.651037918950836
17,1.8724429262713869,2.647744269564623
18,1.8424431134738204,2.650847614257615
19,1.9969385977748697,2.860454772329298
20,2.1534357470054726,2.802204435713628
21,2.6324274223676434,3.3702234732480134
22,2.1072635688970656,2.8856527779372163
23,2.071018663594302,2.7983716855273006
24,1.930126249588147,2.6620493076858294
25,2.097858673697877,2.678893286129006
26,1.9184370814160865,2.6692795766457107
27,1.8942340723873994,2.6735675084020416
28,1.872923425238467,2.6791920425075877
29,1.8692486617411241,2.6834837487831384
30,2.0578114128248592,2.7834466939395344
31,2.024037177012582,2.879699106469504
32,2.416441073041455,3.038530103147476
33,2.527117051912646,3.2543344798340064
34,2.6118833859835666,3.182138926968279
35,2.700422328108253,3.5474362241407995
36,3.3666202605295674,4.079477989368089
37,2.880877581978087,3.300601154045335
